id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
61815503,2020-10-04,"Flathead County, US-MT, US",48.1473633722,-114.0671545326,Isabella Tiger Moth,Pyrrharctia isabella
61835094,2020-09-21,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Fishia discors,Fishia discors
61835463,2020-09-21,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Maple Spanworm Moth,Ennomos magnaria
61835849,2020-09-21,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,October Thorn,Tetracis jubararia
61836595,2020-09-21,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Brachylomia algens,Brachylomia algens
61836782,2020-09-21,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Army Cutworm Moth,Euxoa auxiliaris
61837460,2020-09-22,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.67884,-114.04131,Macaria colata,Macaria colata
61861960,2020-09-21,"Flathead County, US-MT, US",48.4108,-114.3346,Western Honey Bee,Apis mellifera
61894518,2020-10-06,"Lolo, MT 59847, USA",46.8108580524,-114.4158324972,Common Drone Fly,Eristalis tenax
61896408,2020-09-22,"Missoula County, US-MT, US",46.67723,-113.993,Mouse Moth,Amphipyra tragopoginis
61900936,2020-09-30,"Missoula County, US-MT, US",46.67723,-113.993,October Thorn,Tetracis jubararia
61901454,2020-09-30,"Missoula County, US-MT, US",46.67723,-113.993,Agrochola purpurea,Agrochola purpurea
61956591,1994-06-30,"Idaho County, Idaho, USA",46.634,-114.578,Snowberry Checkerspot,Euphydryas colon
61956593,1994-06-30,"Idaho County, Idaho, USA",46.634,-114.578,Greenish Blue,Icaricia saepiolus
61956594,1994-06-30,"Missoula County, Montana, USA",46.8588594158,-113.9734376179,Gillett's Checkerspot,Euphydryas gillettii
61956595,1994-06-24,"Flathead County, Montana, USA",48.4930035572,-113.9787338145,American Silver-bordered Fritillary,Boloria myrina
61982649,2020-10-06,"Flathead County, US-MT, US",48.1215895513,-114.0494574529,European Paper Wasp,Polistes dominula
61996883,2020-10-06,"Montana Hwy 40 W, Columbia Falls, MT, US",48.37127,-114.24553,Western Conifer Seed Bug,Leptoglossus occidentalis
62060715,2020-10-07,"Flathead County, US-MT, US",48.013598524,-114.0468090372,Western Conifer Seed Bug,Leptoglossus occidentalis
62072215,2020-10-08,"The University of Montana, Missoula, MT, US",46.8606133333,-113.9867633333,Aerial Yellowjackets,Dolichovespula
62072267,2020-10-08,"The University of Montana, Missoula, MT, US",46.8605283333,-113.9865716667,Asian Lady Beetle,Harmonia axyridis
